,name,duration,rating,review
0,Stephanie Zhang,3 months ago,5 stars,"Amazing palace.

I visited the palace in Feb 2020, and I still remember it until today.

It is an ideal place to know Javanese culture, enjoy the traditional dance and gamelan.

In addition, a visitor can know the brave Sultan’s contribution in 1825-1830, and also can learn the importance role Yogyakarta played in struggling for the independence of Indonesia.

The entrance fee is just nominal, only 10k.

Everywhere is worth seeing, everyone behaves with courtesy.

Thanks Sultan’s family for providing us visitor such a good opportunity to have a good time in this palace in Yogyakarta.😊🙏"
1,Y M,9 months ago,5 stars,"I guess this place is one of the top want-to-visit sites in your list in Yogyakarta. Little bit too wide to look around thoroughly but you can feel quietness and coolness inside.

It's almost like an open-air park. I don't know whether it's really worth visiting for all, but only if you have a bit or more of curiosity on Indonesian culture, maybe it's worth spending some time on it and tick the list.

Some places are not allowed to even enter, but it seems okay to enter into because it is just open. As a result, a staff runs to me and gets very angry in Indonesian language. You'd better show a warning sign in English!

If you want to take some photos, it costs you Rp. 1000.

There is an official guide you can hire for free, but mine was non-English speaker. If an English-speaking guide, my experience was more exciting?"
2,C R,6 months ago,5 stars,"We came here on Sunday, so many people there. But we enjoyed it. Great historical place to visit, love the ambience. Recommend to bring your kids here, so they can learn the culture."
3,Peony Ang,2 months ago,5 stars,"Amazing palace and culture that they displayed out.

Great place to experience the Javanese culture, enjoy the traditional dance and gamelan. Do come early! We reached at 10am and they performance just started. Recommended to stay throughout!

The entrance fee is around 10k for foreigners.

It is nice that the Sultan and his family allows locals and foreigners to have a good opportunity to be able to immerse into the Javanese culture! 💖"
4,Maulana Ahsan Fahmi,11 months ago,5 stars,"The palace is divided into closed and opened areas for the public. In the opened area, we can enjoy the buildings, vehicles, clothes, equipments used by the palace in ancient times. If you're lucky, you can meet ""abdi dalem"" and see art performances by local performers"
5,Desi Oktavianika,a year ago,5 stars,"Very great museum! Must visit if you are in Yogyakarta and looking for museum or history place. I visited The Palace of Yogyakarta for three times. The complex is a center of javanese culture, and contains a museum displaying royal artifacts."
6,walkingtourbin,11 months ago,5 stars,I came here almost in every Wednesday and Saturday to see puppet show. On Sunday to see traditional dance performance. Most of the time i came to bring my guest as a tour guide. As a visitor sometimes i came in here not in the weekend and just bring myself to understand more and study more from what i have learned. It is such a great place in the center of Yogyakarta to see place where Jogja's king live. This place just have a calm vibes and peaceful. The trees there and the servants who work in here they are so proud. The building designed was so nice.  It is a quite big palace actually because there are a lot to see and learn in this palace. So when you come here dont in rush or just for photo. But look and enjoy it the historical place as Jogja palace.
7,Nova Manik,2 weeks ago,5 stars,"An incredible place to visit to learn about the culture, the history, and Yogyakarta's Kraton.
The spots inside can be explored with or without a guide.
Place watch out on the caution line since some spots are prohibited to be stepped on.

You also can follow (at)kratonjogja(dot)event on Instagram to see art performances on its ""stage"".
Worth to watch!"
8,Claudia Brigita,8 months ago,5 stars,"Great place for cultural activities and historical of Yogyakarta king or sultan. Lots of stuff to see but be careful of people outside of the area like becak driver and local parking thug, they charge IDR 50k for useless becak trip and the local thug making chaos between them for parking area distribution, scare the sht out of my family."
9,Raidzwan Daeng,3 months ago,5 stars,"Its a place where jogja king work n stay before, alot of history of jogja king n empire can read here, the traditional jogja architecture and the king people dress in traditional costume look very beautiful.
HTM for WNA is IDR 15k"
